Publisher_Nintendo,Critic_Count,User_Count,Critic_Score,Year_of_Release,Platform_GB,Platform_NES,User_Score,Platform_X360,Platform_PC,Platform_Wii,Publisher_Other,Genre_Platform,Global_Sales
1,51.0,322.0,76.0,2006.0,0,0,8.0,0,0,1,0,0,82.53
1,0.0,0.0,71.0,1985.0,0,1,7.5,0,0,0,0,1,40.24
1,73.0,709.0,82.0,2008.0,0,0,8.3,0,0,1,0,0,35.52
1,73.0,192.0,80.0,2009.0,0,0,8.0,0,0,1,0,0,32.77
1,0.0,0.0,71.0,1996.0,1,0,7.5,0,0,0,0,0,31.37
1,0.0,0.0,71.0,1989.0,1,0,7.5,0,0,0,0,0,30.26
1,65.0,431.0,89.0,2006.0,0,0,8.5,0,0,0,0,1,29.8
1,41.0,129.0,58.0,2006.0,0,0,6.6,0,0,1,0,0,28.92
1,80.0,594.0,87.0,2009.0,0,0,8.4,0,0,1,0,1,28.32
1,0.0,0.0,71.0,1984.0,0,1,7.5,0,0,0,0,0,28.31
1,0.0,0.0,71.0,2005.0,0,0,7.5,0,0,0,0,0,24.67
1,64.0,464.0,91.0,2005.0,0,0,8.6,0,0,0,0,0,23.21
1,0.0,0.0,71.0,1999.0,1,0,7.5,0,0,0,0,0,23.1
1,63.0,146.0,80.0,2007.0,0,0,7.7,0,0,1,0,0,22.7
0,45.0,106.0,61.0,2010.0,0,0,6.3,1,0,0,1,0,21.81
1,33.0,52.0,80.0,2009.0,0,0,7.4,0,0,1,0,0,21.79
0,50.0,3994.0,97.0,2013.0,0,0,8.2,0,0,0,0,0,21.04
0,80.0,1588.0,95.0,2004.0,0,0,9.0,0,0,0,0,0,20.81
1,0.0,0.0,71.0,1990.0,0,0,7.5,0,0,0,0,1,20.61
1,58.0,50.0,77.0,2005.0,0,0,7.9,0,0,0,0,0,20.15
1,0.0,0.0,71.0,2006.0,0,0,7.5,0,0,0,0,0,18.25
1,0.0,0.0,71.0,1989.0,1,0,7.5,0,0,0,0,1,18.14
1,0.0,0.0,71.0,1988.0,0,1,7.5,0,0,0,0,1,17.28
0,58.0,3711.0,97.0,2013.0,0,0,8.1,1,0,0,0,0,16.27
0,62.0,730.0,95.0,2002.0,0,0,8.7,0,0,0,0,0,16.15
1,0.0,0.0,71.0,2002.0,0,0,7.5,0,0,0,0,0,15.85
1,37.0,19.0,77.0,2005.0,0,0,7.1,0,0,0,0,0,15.29
1,0.0,0.0,71.0,2010.0,0,0,7.5,0,0,0,0,0,15.14
0,54.0,314.0,95.0,2001.0,0,0,8.4,0,0,0,0,0,14.98
0,81.0,8713.0,88.0,2011.0,0,0,3.4,1,0,0,0,0,14.73
1,0.0,0.0,71.0,1998.0,1,0,7.5,0,0,0,0,0,14.64
0,0.0,0.0,71.0,2015.0,0,0,7.5,0,0,0,0,0,14.63
0,89.0,1454.0,87.0,2010.0,0,0,6.3,1,0,0,0,0,14.61
1,0.0,0.0,71.0,2013.0,0,0,7.5,0,0,0,0,0,14.6
0,21.0,922.0,83.0,2012.0,0,0,5.3,0,0,0,0,0,13.79
0,73.0,2256.0,83.0,2012.0,0,0,4.8,1,0,0,0,0,13.67
0,100.0,2698.0,94.0,2009.0,0,0,6.3,1,0,0,0,0,13.47
0,39.0,5234.0,88.0,2011.0,0,0,3.2,0,0,0,0,0,13.32
0,56.0,664.0,97.0,2001.0,0,0,8.5,0,0,0,0,0,13.1
1,81.0,1662.0,93.0,2008.0,0,0,8.9,0,0,1,0,0,12.84
1,73.0,632.0,85.0,2011.0,0,0,8.2,0,0,0,0,0,12.66
0,58.0,1094.0,88.0,2010.0,0,0,6.4,0,0,0,0,0,12.63
0,66.0,2899.0,97.0,2014.0,0,0,8.3,0,0,0,0,0,12.61
1,57.0,242.0,86.0,2005.0,0,0,8.7,0,0,0,0,0,12.13
0,86.0,4100.0,94.0,2007.0,0,0,7.8,1,0,0,1,0,12.12
1,0.0,0.0,71.0,1996.0,0,0,7.5,0,0,0,0,1,11.89
1,0.0,0.0,71.0,2009.0,0,0,7.5,0,0,0,0,0,11.77
1,0.0,0.0,71.0,2014.0,0,0,7.5,0,0,0,0,0,11.68
0,74.0,272.0,89.0,2004.0,0,0,8.5,0,0,0,0,0,11.66
1,73.0,2147.0,97.0,2007.0,0,0,8.9,0,0,1,0,1,11.35
1,0.0,0.0,71.0,1992.0,1,0,7.5,0,0,0,0,0,11.18
0,86.0,2951.0,98.0,2008.0,0,0,7.9,1,0,0,0,0,11.01
0,16.0,138.0,96.0,1997.0,0,0,8.7,0,0,0,0,0,10.95
1,82.0,921.0,90.0,2011.0,0,0,8.4,0,0,0,0,1,10.81
0,82.0,1112.0,84.0,2010.0,0,0,7.5,0,0,0,0,0,10.7
0,67.0,2073.0,94.0,2009.0,0,0,6.3,0,0,0,0,0,10.6
1,0.0,0.0,71.0,1993.0,0,0,7.5,0,0,0,0,1,10.55
0,64.0,2833.0,98.0,2008.0,0,0,7.5,0,0,0,0,0,10.5
1,0.0,0.0,71.0,2004.0,0,0,7.5,0,0,0,0,0,10.49
